predicted,ground_truth
"SubString{String}[""total equilibrium revenue"", ""q ="", ""− q"", ""equilibrium revenue"", ""symmetric equilibrium bids"", ""s ="", ""bidders bids"", ""keyword search"", ""symmetric equilibrium"", ""s bids"", ""search advertisers"", ""q"", ""keyword auction"", ""total relevance"", ""revenue"", ""="", ""total value"", ""bidders"", ""equilibrium"", ""−"", ""search"", ""keyword"", ""bids"", ""relevance"", ""s"", ""correlation"", ""value"", ""advertisers"", ""efficiency"", ""auction"", ""total"", ""symmetric""]","[""advertising revenue"", ""keyword auction"", ""pricing search keyword"", ""advertisement"", ""search engine"", ""rank-by-bid"", ""sponsor search"", ""profit"", ""optimal auction design problem"", ""sponsored search"", ""revenue"", ""ranking rule"", ""revenue-optimal ranking"", ""rank-by-revenue""]"
"SubString{String}[""replica servers data grid"", ""data file transfer"", ""data transfer performance"", ""a data grid"", ""a data transfer"", ""data file"", ""data grid"", ""data transfer"", ""data servers"", ""data storage"", ""a data"", ""dynamic data"", ""a replica selection"", ""data"", ""replica servers"", ""file transfer"", ""a dynamic co-allocation"", ""a replica"", ""replica selection"", ""replica server"", ""transfer performance"", ""transfer time"", ""time transfer"", ""a file"", ""a co-allocation"", ""co-allocation server"", ""dynamic co-allocation"", ""replica"", ""a dynamic system"", ""a performance"", ""server transfer"", ""time bandwidth"", ""file"", ""grid"", ""co-allocation"", ""storage system"", ""network bandwidth"", ""a system"", ""a server"", ""a dynamic"", ""performance"", ""dynamic server"", ""transfer"", ""time"", ""servers"", ""network"", ""system"", ""storage"", ""a"", ""selection"", ""bandwidth"", ""server"", ""dynamic""]","[""large dataset"", ""data grid"", ""gridftp"", ""co-allocation strategy"", ""server"", ""replica selection"", ""data transfer"", ""distributed resource"", ""replication"", ""resource management protocol"", ""performance"", ""globus"", ""grid computing"", ""data grid application"", ""replica"", ""co-allocation""]"
"SubString{String}[""other global bidders"", ""optimal global bid"", ""global bidder bids"", ""optimal global bids"", ""local bidders bid"", ""global bidder"", ""global bidders"", ""local bidders valuation"", ""optimal global"", ""= −"", ""global bid"", ""global bidding"", ""other global"", ""other auctions"", ""local bidder"", ""local bidders"", ""other bidders"", ""optimal bid"", ""bidder bids"", ""bidder valuation"", ""optimal bidding"", ""="", ""global"", ""optimal bids"", ""auctions"", ""bid auctions."", ""other auctions."", ""other bids"", ""other valuation"", ""bidder"", ""bidders"", ""optimal"", ""number"", ""local"", ""−"", ""bid"", ""however,"", ""bidding"", ""results"", ""other"", ""auction"", ""auctions."", ""case"", ""bids"", ""valuation""]","[""utilitymaximising strategy"", ""optimal bidding strategy"", ""market efficiency"", ""perfect substitute"", ""simultaneous second-price auction"", ""online market"", ""global bidding agent"", ""simultaneous auction"", ""non-decreasing valuation distribution"", ""vickrey auction"", ""social and behavioral science"", ""multiagent system""]"
"SubString{String}[""query background language model"", ""document language model"", ""language model smoothing"", ""multinomial language model"", ""query background model"", ""multinomial language models"", ""model information retrieval"", ""language model"", ""query model"", ""multinomial retrieval models"", ""document model"", ""retrieval model"", ""smoothing model"", ""model smoothing"", ""multinomial model"", ""different retrieval models"", ""document language"", ""language models"", ""multinomial language"", ""background model"", ""new model"", ""multinomial query"", ""document models"", ""query term"", ""background language"", ""retrieval models"", ""smoothing smoothing"", ""multinomial models"", ""models term"", ""query terms"", ""different document"", ""model"", ""query likelihood"", ""poisson"", ""different retrieval"", ""different smoothing"", ""new models"", ""information retrieval"", ""new smoothing"", ""language"", ""retrieval performance"", ""="", ""query"", ""different terms"", ""different background"", ""document"", ""models"", ""retrieval"", ""smoothing"", ""multinomial"", ""term"", ""different"", ""terms"", ""background"", ""information"", ""new"", ""likelihood"", ""performance""]","[""formal model"", ""poisson distribution"", ""query generation probabilistic model"", ""language model"", ""multivariate bernoullus distribution"", ""speech recognition"", ""query generation"", ""multinomial distribution"", ""homogeneous poisson process"", ""new term-dependent smoothing algorithm"", ""single pseudo term"", ""term dependent smooth"", ""perterm smoothing"", ""vocabulary set"", ""term frequency"", ""poisson process"", ""two-stage smoothing""]"
"SubString{String}[""receiver available bandwidth"", ""peer bandwidth"", ""peers bandwidth"", ""parent bandwidth"", ""receiver peer"", ""parent peer"", ""parent peers"", ""new peer"", ""new peers"", ""available bandwidth"", ""receiver parents"", ""peer local"", ""new receiver"", ""new parent"", ""receiver number"", ""peer-to-peer overlay"", ""receiver local"", ""new parents"", ""bandwidth"", ""peer"", ""parents available"", ""peers"", ""different parents"", ""overlay"", ""receiver"", ""parent"", ""local design"", ""parents"", ""new"", ""number"", ""available"", ""local"", ""peer-to-peer"", ""design"", ""different""]","[""congestion control"", ""distributed system"", ""efficient overlay structure"", ""peer-to-peer streaming"", ""peer-to-peer stream"", ""receiver-driven parent selection"", ""measurement"", ""receiver-driven approach"", ""gossip-based peer discovery"", ""pro"", ""proper subset of parent peer"", ""receiver-driven overlay"", ""design""]"
"SubString{String}[""interesting definitional nuggets"", ""definitional answer nuggets"", ""interesting nuggets interesting"", ""definitional question"", ""such topic terms"", ""topic nuggets"", ""interesting nuggets"", ""definitional system"", ""question topic"", ""definitional sentences"", ""nuggets such"", ""human interest"", ""definitional answer"", ""answer nuggets"", ""question topic."", ""topic terms"", ""such interesting"", ""relevant topic"", ""definitional"", ""terms model"", ""relevant sentences"", ""answer sentences"", ""information such"", ""human"", ""such relevant"", ""nuggets"", ""such systems"", ""relevant terms"", ""answer sentence"", ""question"", ""topic"", ""interesting"", ""system"", ""sentences"", ""trec"", ""model"", ""such"", ""interest"", ""sentence"", ""information"", ""terms"", ""approach"", ""relevant"", ""term"", ""answer"", ""systems"", ""topic.""]","[""external knowledge"", ""lexical pattern"", ""computation of human interest"", ""definitional question answer"", ""interest"", ""sentence fragment"", ""news corpus"", ""linguistic use"", ""human interest computation"", ""human interest"", ""unique quality"", ""human reader"", ""informative nugget"", ""baseline system"", ""surprise factor"", ""question topic"", ""interesting nugget"", ""use of linguistic"", ""manual labor""]"
"SubString{String}[""document size"", ""document snippets"", ""queries document"", ""document compression"", ""snippet generation time"", ""query terms"", ""document"", ""web snippet"", ""web documents"", ""query results"", ""snippet generation"", ""search engine"", ""web search"", ""sentence terms"", ""search queries"", ""query"", ""search results"", ""snippet"", ""web pages"", ""documents"", ""data compression"", ""text snippets"", ""compression time"", ""results pages"", ""queries such"", ""search"", ""sentences"", ""terms"", ""sentence"", ""web"", ""size"", ""snippets"", ""data"", ""pages"", ""queries"", ""compression"", ""text"", ""time"", ""number"", ""such"", ""generation"", ""results""]","[""document cache"", ""document caching"", ""special-purpose filesystem"", ""document compaction"", ""precomputed final result page"", ""search engine"", ""ram"", ""text fragment"", ""vbyte coding scheme"", ""performance"", ""link graph measure"", ""web summary"", ""snippet generation"", ""semi-static compression""]"
"SubString{String}[""user feedback"", ""retrieval system"", ""new feedback"", ""information"", ""new query"", ""novelty feedback"", ""passage retrieval"", ""novelty detection"", ""new evaluation"", ""user"", ""new ranked"", ""system"", ""ranked passages"", ""relevance"", ""new"", ""passage"", ""novelty"", ""feedback"", ""query"", ""utility"", ""retrieval"", ""passages"", ""adaptive"", ""nugget"", ""evaluation"", ""ranked"", ""corpus"", ""documents"", ""training""]","[""ﬂexible user feedback"", ""adaptive filtering"", ""new evaluation methodology"", ""passage ranking"", ""temporally ordered document"", ""unified framework"", ""ad-hoc retrieval"", ""evaluation methodology"", ""answer key"", ""ndcg metric"", ""utility-base distillation"", ""adaptive filter"", ""nugget-matching rule"", ""unify framework"", ""novelty detection"", ""passage rank"", ""utility-based information distillation""]"
"SubString{String}[""instance, norms agent"", ""prohibition ω ∈"", ""conflict set"", ""ω ="", ""actions agents"", ""ω ∈"", ""governor agents"", ""norm conflict"", ""σ ="", ""σ ∈"", ""governor agent"", ""norm variables"", ""agents"", ""norms"", ""set"", ""conflict"", ""ω"", ""="", ""agent"", ""∈"", ""action"", ""variables"", ""actions"", ""σ"", ""norm"", ""prohibition"", ""instance,"", ""governor""]","[""norm inconsistency"", ""governor agent"", ""artificial social systems"", ""norm conflict"", ""multi-agent system"", ""external agent"", ""norm-regulated vo"", ""agent"", ""virtual organization"", ""conflicting prohibition""]"
"SubString{String}[""client commit time"", ""client cache"", ""peer group cache"", ""clients fetch objects"", ""client server"", ""client fetch request"", ""version number cache"", ""client group"", ""client transaction"", ""client invalidation"", ""object cache"", ""clients cache"", ""server cache"", ""transaction commit time"", ""system server fetch"", ""page version number"", ""client request"", ""version cache"", ""cache group"", ""peer cache"", ""object version"", ""cache performance"", ""cache invalidations"", ""peer fetch latency"", ""object invalidation"", ""object invalidations"", ""invalidations clients"", ""server invalidations"", ""object system"", ""system clients"", ""commit commit"", ""server system"", ""page version"", ""client"", ""transaction commit"", ""peer group"", ""clients fetch"", ""server fetch"", ""redirector page"", ""commit protocol"", ""redirector invalidations"", ""commit time"", ""version number"", ""network latency"", ""system performance"", ""commit request"", ""invalidation time"", ""peer fetch"", ""network request"", ""cache"", ""objects"", ""object"", ""request latency"", ""clients"", ""server"", ""fetch request"", ""version"", ""commit"", ""group"", ""page"", ""network"", ""peer"", ""transaction"", ""redirector"", ""performance"", ""invalidation"", ""invalidations"", ""system"", ""protocol"", ""time"", ""latency"", ""number"", ""fetch"", ""request""]","[""multi-user oo7 benchmark"", ""buddycache"", ""object storage system"", ""transaction"", ""dominant performance cost"", ""collaborative strong-consistency application"", ""peer fetch"", ""fine-grain sharing"", ""optimistic system"", ""fault-tolerance property"", ""fine-grain share"", ""cooperative cache"", ""fault-tolerance"", ""cooperative web caching"", ""wide-area network""]"
"SubString{String}[""multi-document topic segmentation"", ""document number ="", ""topic segmentation"", ""document segmentation"", ""different segmentation"", ""term weights"", ""multi-document segmentation"", ""different topic"", ""topic segment"", ""different documents"", ""document number"", ""same topic"", ""segment documents"", ""different document"", ""term"", ""different segments"", ""different number"", ""segment number"", ""document sentences"", ""segmentation"", ""same segments"", ""same number"", ""topic"", ""same segment"", ""="", ""documents"", ""document"", ""segments"", ""number"", ""information"", ""different"", ""...,"", ""segment"", ""words"", ""sentences"", ""set"", ""same"", ""multi-document"", ""weights"", ""results""]","[""local and sequential information of document"", ""wmus"", ""cue term"", ""document local and sequential information"", ""share topic detection"", ""performance of topic segmentation"", ""multiple document"", ""topic alignment"", ""multi-document segmentation"", ""mutual information"", ""topic segmentation performance"", ""stop word"", ""topic detection"", ""shared topic"", ""term weight"", ""topic segmentation"", ""single-document segmentation"", ""tracking"", ""single document"", ""optimal boundary""]"
"SubString{String}[""a localization system"", ""localization system"", ""localization time"", ""a sensor node"", ""sensor system"", ""size sensor network"", ""a sensor network"", ""localization error"", ""localization function"", ""sensor nodes"", ""sensor node"", ""a localization"", ""localization errors"", ""localization solution"", ""sensor network"", ""a sensor"", ""localization"", ""event size"", ""sensor"", ""a system"", ""a time"", ""time cost"", ""event"", ""a node"", ""system"", ""network location"", ""a location"", ""point events"", ""a function"", ""time"", ""a network"", ""a device"", ""a line"", ""a light"", ""a solution"", ""nodes"", ""node"", ""cost solution"", ""error"", ""size"", ""events"", ""location"", ""scan"", ""function"", ""network"", ""a"", ""device"", ""point"", ""line"", ""errors"", ""d."", ""="", ""cost"", ""area"", ""s."", ""light"", ""range"", ""due"", ""solution""]","[""laser"", ""distribution"", ""range-free scheme"", ""transmission"", ""wireless sensor network"", ""sensor network"", ""spotlight system"", ""localization error"", ""performance"", ""localization technique"", ""localization"", ""accuracy"", ""range-based localization"", ""event distribution""]"
"SubString{String}[""agents si"", ""agent si"", ""si a set"", ""a request cost"", ""a communication protocol"", ""such a communication"", ""si ∈"", ""such a satellite"", ""si a"", ""= si"", ""a request"", ""si such"", ""a communication"", ""agents"", ""agent"", ""communication protocol"", ""a satellite"", ""a conflict"", ""a cost"", ""a set"", ""such a"", ""conflict such"", ""si"", ""requests such"", ""request"", ""communication"", ""∈"", ""satellite"", ""a"", ""conflict"", ""="", ""cost"", ""requests"", ""protocol"", ""set"", ""planning"", ""let"", ""order"", ""strategies"", ""information"", ""strategy"", ""such""]","[""task and resource allocation"", ""teamagent"", ""dip"", ""cooperation and teamwork"", ""satellite swarm"", ""coordination"", ""on-board planning"", ""information system application"", ""prospecting ant"", ""communication and negotiation"", ""objectagent architecture"", ""reactive decision rule"", ""cooperative distribute problem solve"", ""multiagent system""]"
"SubString{String}[""application processors"", ""application performance"", ""application adaptation"", ""parallel application"", ""grid applications"", ""resource performance"", ""performance problem"", ""application"", ""performance monitoring"", ""grid resources"", ""nodes such"", ""adaptation problem"", ""grid monitoring"", ""adaptation coordinator"", ""efficiency number"", ""processors"", ""parallel applications"", ""such resources"", ""performance"", ""monitoring processor"", ""parallel efficiency"", ""grid"", ""problem cluster"", ""adaptation"", ""nodes"", ""applications"", ""number"", ""processor"", ""such"", ""resource"", ""efficiency"", ""resources"", ""problem"", ""monitoring"", ""cluster"", ""parallel"", ""coordinator""]","[""high-bandwidth local-area network"", ""idle time of the processor"", ""overloaded resource"", ""self-adaptivity"", ""resource selection"", ""lower-bandwidth wide-area network"", ""divide-and-conquer"", ""heterogeneity of resource"", ""grid environment"", ""homogeneous parallel environment"", ""the processor idle time"", ""resource heterogeneity"", ""grid computing"", ""degree of parallelism"", ""parallelism degree"", ""communication time"", ""network link"", ""parallel computing""]"
"SubString{String}[""other agents other agents"", ""agents search"", ""two-sided economic search model"", ""other two-sided search"", ""agent agent"", ""two-sided search model"", ""two-sided economic search"", ""new two-sided search"", ""other agents"", ""utility search"", ""search strategy"", ""other agent"", ""two-sided search"", ""search model"", ""search equilibrium"", ""economic search"", ""agents decision"", ""same search"", ""new search"", ""agent decision"", ""same agent"", ""other economic two-sided"", ""agents"", ""search"", ""other partnership"", ""agent"", ""other potential"", ""equilibrium strategy"", ""potential partnership"", ""same strategy"", ""model decision"", ""new model"", ""new equilibrium"", ""other"", ""utility"", ""< <"", ""partnership"", ""="", ""strategy"", ""−"", ""two-sided"", ""model"", ""equilibrium"", ""theorem"", ""equation"", ""decision"", ""potential"", ""<"", ""function"", ""same"", ""new""]","[""search cost"", ""peer-to-peer application"", ""pairwise partnership"", ""sequential decision making"", ""utility"", ""parallel interaction"", ""match"", ""partnership formation"", ""information processing"", ""instantaneous decision making"", ""decision"", ""partnership"", ""two-side search"", ""multi-equilibrium scenario"", ""bounding methodology"", ""costly environment"", ""equilibrium strategy"", ""two-sided search"", ""coalition formation"", ""search performance""]"
"SubString{String}[""information re-finding tasks"", ""email re-finding tasks"", ""study participants information"", ""re-finding tasks people"", ""email tasks"", ""people personal information"", ""web tasks"", ""evaluation tasks"", ""email information"", ""information re-finding tasks."", ""re-finding tasks"", ""tasks people"", ""personal information"", ""participants email collections"", ""user information"", ""re-finding information"", ""information collections"", ""tasks"", ""participants personal"", ""information"", ""email re-finding tasks."", ""difficult participants"", ""task difficult"", ""study participants"", ""time participants"", ""email re-finding"", ""email tasks."", ""participants"", ""task"", ""people personal"", ""personal collections"", ""user evaluation"", ""web re-finding"", ""web tasks."", ""email"", ""re-finding tasks."", ""collections people"", ""diary study"", ""personal"", ""web"", ""evaluation"", ""user"", ""•"", ""re-finding"", ""people"", ""diary"", ""difficult"", ""study"", ""tasks."", ""time"", ""collections""]","[""re-find information"", ""laboratory-based study"", ""experimenter"", ""taxonomy"", ""human factor"", ""measurement"", ""privacy issue"", ""personal information management"", ""naturalistic approach"", ""user evaluation"", ""email message"", ""individual collection""]"
"SubString{String}[""a service-based protocol stack"", ""a protocol module"", ""same protocol module"", ""event-based protocol stack"", ""a protocol stack"", ""a service-based protocol"", ""protocol module"", ""protocol modules"", ""event-based protocol"", ""protocol stack"", ""a protocol"", ""service-based protocol"", ""same protocol"", ""protocol"", ""a service interface"", ""same service interface"", ""a service"", ""service interface"", ""same service"", ""modules modules"", ""a module"", ""service-based event-based"", ""same event"", ""a stack"", ""communication stack"", ""service"", ""same stack"", ""a service-based"", ""a distributed"", ""module"", ""modules"", ""event"", ""event-based"", ""stack"", ""a"", ""service-based"", ""communication"", ""events"", ""distributed"", ""same"", ""figure""]","[""distributed system"", ""modularity"", ""dynamic protocol replacement"", ""module"", ""network"", ""event-based framework"", ""reply"", ""request"", ""distributed algorithm"", ""protocol framework"", ""stack"", ""service interface"", ""communication""]"
"SubString{String}[""a multiattribute auction"", ""a configuration θ utility"", ""a value function"", ""set ="", ""multiattribute auction"", ""additive value function"", ""such a structure"", ""a preference"", ""a price"", ""additive preference"", ""a configuration θ"", ""= πt"", ""a set"", ""preference structure"", ""θ ="", ""g ="", ""= g"", ""additive price"", ""configuration θ ∈"", ""a multiattribute"", ""price structure"", ""a value"", ""multiattribute utility"", ""multiattribute value"", ""let sellers"", ""a function"", ""a ∈"", ""such a"", ""full set"", ""utility function"", ""value function"", ""sellers profit"", ""buyer set"", ""multiattribute preferences"", ""a configuration"", ""a full"", ""auction"", ""a seller"", ""a profit"", ""value configuration"", ""θ a"", ""="", ""a round"", ""attribute a"", ""− g"", ""preference"", ""additive buyer"", ""θ ∈"", ""price"", ""configuration θ"", ""attribute configuration"", ""seller profit"", ""sellers"", ""set"", ""buyer profit"", ""θ θ"", ""a"", ""multiattribute"", ""utility"", ""value"", ""−"", ""function"", ""additive"", ""∈"", ""such"", ""phase"", ""structure"", ""let"", ""preferences"", ""configuration"", ""full"", ""πt"", ""seller"", ""profit"", ""θ"", ""buyer"", ""round"", ""attribute"", ""g""]","[""multiattribute auction"", ""iterative auction mechanism"", ""gaus"", ""preference handling"", ""mvf"", ""measurable value function theory"", ""gai based auction"", ""auction"", ""theory of measurable value function""]"
